Nikolija Denkić
Miomir Gavrić
Julka Hadži Ristić
Borisav Tominčić
Naum Androbić
Stanojlo Dejanić
Miroljub Šunjevarić
Vukica Kodžopeljić
Stanka Rogulić
Milivoj Čolanić
Gordana Katanić
Živadin Đorić
Stojadin Šipčić
Poljka Krainčanić
Emilijan Topličić
Evica Đuračić
Radoman Kovandžić
Peladija Jakšić
Smilja Bešić
Tina Dabarčić
Zlatko Adžić
Stanojlo Cvikić
Đorđe Đuzić
Bisenija Šalinić
Radinka Gnjidić
Borislav Čembić
Hranislavka Selenić
Goran Ljubičić
Helena Milišić
Tihomir Bizumić
Sibin Buckić
Uroš Bosiljkić
Miloš Mesulić
Bojan Pauškić
Teodora Mosić
Hranislava Žeravić
Todora Stavrić
Spasoje Miljanić
Radovan Trivundić
Sretenka Bačkalić
Stojmen Žikelić
Danojlo Belić
Radenko Skakić
Dušanka Miodanić
Rumenka Bunić
Stevka Bastajić
Petronije Badrkić
Stojka Tufonić
Leonida Pržić
Anđa Epifanić
Anđelija Ravić
Despot Budalić
Bojana Piljikić
Jelika Lović
Jordan Pernić
Petar Eskić
Vladeta Rajčetić
Đukan Sofijanić
Višeslava Grumić
Krsmanija Jestrotić
Božidarka Joldić
Obradinka Vajagić
Ljubo Bokić
Vukota Spurnić
Željko Krivačić
Malina Golemić
Razumenka Pekić
Selimir Podraščić
Irena Aladić
Ljubo Đujić
Đulijana Dželebdžić
Oliver Radanić
Njegoslav Oparušić
Stojanka Krsmanić
Ristivoj Vrugić
Marijan Dostanić
Cvetomir Protić
Milisav Drinčić
Željka Žurkić
Stojiljko Nišavić
Ljiljana Ćirić
Živkica Bukilić
Zaviša Vucelić
Jana Žmurić
Antonina Zjalić
Velibor Cajić
Nadežda Miletić
Ognjen Cvišić
Spasoje Kosanić
Šiško Malečić
Soka Đuretić
Višnja Treskić
Aleksa Prekogačić
Zorica Florić
Živadinka Dašić
Milijan Kuić
Vukoje Banzić
Milojka Bačkalić
Jerotije Jovelić
Čeda Jojić
Milivoj Pavlekić
Aran|el Bjeletić
Ćile Bogičić
Radiša Sušić
Leontijr Canić
Kruna Borišić
Doris Biserić
Teodosije Radisavić
Predrag Dinkić
Krsmanija Fotić
Jovan Đuketić
Joviša Lugonjić
Anđa Kulić
Kojadin Jovanikić
Ignjat Jojić
Antonije Ugrinčić
Mojsilo Piljagić
Ratko Saveljić
Milentije Jelisić
Bogoljub Stikić
Miladinka Nikotić
Aleksandra Šabeljić
Luka Balotić
Cviko Cajić
Željka Bakić
Bogdan Simonić
Borisav Grumić
Dalibor Đurašić
Srećko Čupić
Đokica Čeleketić
Simeon Voštinić
Milijana Popčić
Simeon Ananić
Đurica Bisić
Nićifor Kulić
Cane Igić
Fotije Dančejić
Ristivoje Piperčić
Vitomir Radetić
Miladinka Skakić
Gavrilo Marčetić
Petar Pljakić
Timotije Budimčić
Manojlo Josić
Vladeta Motičić
Željko Kvržić
Spridon Buloščić
Danilo Nogulić
Špiro Đaletić
Julija Purišić
Rafailo Stepandić
Stanojlo Sretić
Željka Uverić
Stanislava Vakaricić
Petar Vidarić
Bisenija Stojšić
Slavica Mirosavić
Darko Ugrčić
Đulijana Brujić
Ćirka Mandarić
Dobroslavka Šešić
Cvijan Žunić
Vera Jeremić
Zlatica Aperlić
Srđan Kojdić
Leposava Glodić
Kornelije Tačić
Miladin Veličić
Natalija Tumarić
Jelena Tomčić
Blagomir Džopalić
Živadinka Stajčić
Njegoš Jojkić
Jelika Puslojić
Maksim Pušeljić
Sanja Albijanić
Prohor Gajić
Sojka Grozdanić
Marinko Trošić
Varvara Balšić
Daliborka Kruškonjić
Jelika Opojevlić
Stamenija Pribić
Smiljana Kalinčić
Makrena Rabadžić
Cvetko Najdić
Maksim Kavalić
Golub Timilić
Pelagija Sretić
Prvoslav Bogatić
Đurđija Lejić
Gvozden Smikić
Darko Galetić
Šale Raletić
Stanika Runić
Drgorad Miškić
Magdalena Balačikić
Vasilije Kljutić
Tadija Aćimić
Cvetomir Stakić
Poljka Colić
Kornelije Mandukić
Mašinka Pop Lazić
Vukosav Vukošić
Katica Magdelinić
Radoslavka Nevenić
Kuzman Vanucić
Slavenka Grubješić
Leonora Pašajlić
Evica Plazinić
Dragan Bakalić
Ratiborka Jelašić
Vladeta Bogdanić
Sandra Lažetić
Petruška Drinić
Stanija Pusulić
Filipinka Škrbić
Ranko Lekanić
Stojanka Irić
Stojmen Bijanić
Žika Krkobabić
Trajanka Đuketić
Višnja Mikičić
Zvezdana Ulardžić
Toša Kovjenić
Nada Patrnogić
Dobrivoj Trivunčić
Ćana Gatarić
Njegovan Nastasić
Ivanka Perutić
Sava Taricić
Vladimir Lišančić
Bojan Pleskonjić
Obradin Jondić
Koviljka Čkrkić
Gligorije Kamenčić
Svetoje Hadži Jovančić
Stefan Borongić
Kirilo Mačkić
Slavica Matušić
Irena Tičić
Veljko Levnajić
Krsmanija Dančejić
Snežana Melentić
Stanica Ćitić
Goca Krstajić
Dobrica Đorić
Cajka Kiklić
Spridon Cajić
Vladimir Čaprnjić
Stevan Rubežić
Njegoslav Mirkić
Radojka Bavrlić
Živko Šarić
Angelina Krejić
Dobrica Galečić
Ljiljana Baltić
Obradinka Njegrić
Ljubinka Subotić
Srboljub Karkalić
Aleksa Vuksić
Bogdana Šošić
Gruja Stevlić
Draško Novčić
Toma Kosnić
Gorica Gambelić
Olja Klisurić
Mateja Kesić
Blagoje Nocić
Sretenka Nežić
Žaklina Dragušić
Stamenko Šorgić
Sima Disić
Puriša Tovljanić
Janko Stolić
Hranislava Ležajić
Milica Pirivatrić
Želimir Konculić
Đurica Dostičić
Ilija Pajić
Dragica Kiklić
Damjanka Strejkić
Svetislavka Aksić
Krunoslava Raljić
Varvara Jevrić
Sergije Kureljušić
Ratimir Spasić
Gruja Opojevlić
Dušica Tejić
Živojin Potulić
Ilija Tiragić
Stanojka Šunkić
Slavenka Šabeljić
Šana Pavelkić
Nebojša Pualić
Živadin Koljajić
Persida Zjačić
Đurđevka Kojčić
Pantelija Divić
Jelenko Džekulić
Jelisaveta Krkelić
Mojsilo Lakić
Vukašin Čokić
Kirilo Barnić
Manojlo Bosiočić
Njegoslav Vojvodić
Filotej Vojičić
Bisenija Kalinucić
Suncica Lupikić
Stanojlo Drapić
Stojadin Bulutić
Blaženka Sabljić
Anđelija Koljančić
Stanojka Džonić
Dragiša Kalčić
Vukan Kojičić
Jevrem Malavrazić
Njegoslav Dudunić
Božana Rogljić
Božana Vidačić
Ljubivoje Narandžić
Stojan Gerzić
Ceca Mirotić
Drgorad Zorić
Konstantin Mirjanić
Prerad Bubonjić
Grozdan Vujetić
Poljka Nogulić
Laza Erić
Zlatomir Aćimić
Snežana Marotić
Božana Mrakić
Nevenka Kolobarić
Zlatibor Košarčić
Vasilija Glavendekić
Radojlo Tajdić
Buda Mejić
Cvetana Rakinić
Ljubivoje Mirotić
Antonije Radekić
Radoslava Žiletić
Hristina Čalić
Veliborka Tripić
Najdan Ćeklić
Gruja Glumičić
Jelenko Šušnjić
Antonije Jevrić
Milica Gverić
Glorija Nikolčić
Željka Utvić
Olja Prelić
Jelenko Strojić
Marjan Sabljić
Golub Cekić
Ivko Peričić
Vladimir Kučparić
Đukan Moskovlić
Radoš Budurić
Spridon Stopić
Tatomir Šobić
Smilja Koranjić
Fanija Bušić
Anđelka Budinčić
Ratislav Tekić
Elizabeta Pilindavić
Draginja Vučić
Obradin Gačić
Fema Mirčić
Tugomir Vasiljkić
Slavoljub Rusalić
Zlatibor Bondžić
Zagorka Čeleketić
Slobodan Velišić
Ristivoj Eskić
Sandra Kovjenić
Viktor Pešukić
Grujica Drmonjić
Čubrilo Lolić
Stojadinka Palić
Ratka Vulić
Ćirka Pačkić
Ilija Dolinić
Dragana Pirivatrić
Olivera Miovčić
Cviko Jovelić
Stojadinka Barajić
Damjanka Redžić
Lidija Orlandić
Prvoslavka Trivalić
Blaženka Tepić
Milanko Vulić
Emil Timilić
Časlavka Dostinić
Uranko Delojkić
Ratiborka Kebeljić
Spasenija Bosančić
Filotej Ležaić
Novka Golić
Arsenije Ječmenić
Živan Gazibarić
Anđelija Tanasić
Despot Stamenčić
Gavrilo Stingić
Atanasije Šepić
Mira Marodić
Gojko Caričić
Čedomir Folić
Nedeljka Karaulić
Ugren Šabeljić
Zorica Anđić
Ranđa Budimić
Slavka Soskić
Miladinka Radulić
Vidak Mrkonjić
Persida Galčić
Ranka Lotić
Nastasija Kričkić
Rodoljub Žutinić
Jagoš Pericić
Aksentije Kusonić
Njegosava Šalinić
Borko Tvrdišić
Jelika Miljanić
Ranđa Džajić
Damjan Čamagić
Novko Čališić
Slavenko Raonić
Jeremije Veličić
Miodrag Vulikić
Radoje Garetić
Ozrenka Verić
Nemanja Krstić
Taško Smilić
Tomka Lolić
Lepomir Stupić
Mitar Talpešić
Branimir Glamočić
Gradimirka Špoljić
Valerija Vučenić
Vladislav Porobić
Bogomir Krajšić
Nićifor Vagić
Cane Raulić
Milentije Kosnić
Đoka Misić
Isak Ćujić
Mijalko Epifanić
Jasmina Zisić
Vukosava Krezić
Radoman Čojić
Tugomir Budinčić
Bogdanka Čabrić
Dobroslavka Pavlić
Želimir Očinić
Vlastimir Koljenšić
Stojanka Rasulić
Ljiljana Pajdić
Đurđe Medurić
Liza Kljutić
Vojin Ludajić
Razumenka Kipić
Višeslav Košprdić
Ivica Tomišić
Stanojka Krnjeušić
Ceca Kretić
Zvezdana Šundić
Aran|el Brezonić
Prvoslavka Garčić
Radul Lotić
Pajka Bajić
Časlavka Čolanić
Obrad Ćosić
Jelka Mikarić
Sofronije Jasnić
Radojko Stanarčić
Perunika Treskić
Miodrag Mileusnić
Marijan Savelić
Lidija Buloščić
Caja Radosavljević
Julijan Patrić
Luka Kodžić
Aleksija Zaradić
Gradiša Potrebić
Zaviša Brešić
Blagica Punišić
Želimir Batinić
Gabrijela Jeftić
Paun Matušić
Radul Strinić
Vukota Todosić
Metodije Bekić
Radivoj Ristanić
Hristivoje Eremić
Dobrilo Talić
Njegoslav Purišić
Veroslava Bukilić
Ljuban Bogičić
Grujica Maćić
Latinka Mickić
